793,acma,210,"{""Fall 2015"",""Not in Spring 2016""}",Quantitative,2016-03-29 10:43:26.971062,2016-03-30 02:48:52.417229,Mathematics of Compound Interest
794,acma,315,"{""Not in Fall 2015"",""Not in Spring 2016""}",Quantitative,2016-03-29 10:43:27.027616,2016-03-30 02:48:52.4309,Credibility Theory
795,acma,320,"{""Spring 2016"",""Not in Fall 2015""}",Quantitative,2016-03-29 10:43:27.088432,2016-03-30 02:48:52.434987,Actuarial Mathematics I
796,acma,335,"{""Fall 2015"",""Not in Spring 2016""}",Quantitative,2016-03-29 10:43:27.191772,2016-03-30 02:48:52.438814,Risk Theory
797,acma,395,"{""Spring 2016"",""Not in Fall 2015""}","",2016-03-29 10:43:27.243785,2016-03-30 02:48:52.443048,Special Topics in Actuarial Science
798,acma,425,"{""Fall 2015"",""Not in Spring 2016""}",Quantitative,2016-03-29 10:43:27.307417,2016-03-30 02:48:52.447648,Actuarial Mathematics II
799,acma,445,"{""Spring 2016"",""Not in Fall 2015""}",Quantitative,2016-03-29 10:43:27.355329,2016-03-30 02:48:52.452478,Loss Models: Estimation and Selection
800,acma,465,"{""Not in Fall 2015"",""Not in Spring 2016""}",Quantitative,2016-03-29 10:43:27.425945,2016-03-30 02:48:52.456855,Mathematics of Demography
801,acma,470,"{""Fall 2015"",""Not in Spring 2016""}",Quantitative,2016-03-29 10:43:27.481143,2016-03-30 02:48:52.460826,Property and Casualty Insurance
802,acma,475,"{""Not in Fall 2015"",""Not in Spring 2016""}",Quantitative,2016-03-29 10:43:27.530203,2016-03-30 02:48:52.464497,Theory of Pension
803,acma,490,"{""Spring 2016"",""Fall 2015""}","",2016-03-29 10:43:27.575335,2016-03-30 02:48:52.468198,Selected Topics in Actuarial Science
804,acma,495,"{""Not in Fall 2015"",""Not in Spring 2016""}",N/A,2016-03-29 10:43:27.648531,2016-03-30 02:48:52.471632,Directed Studies in Actuarial Science
805,acma,815,"{""Spring 2016"",""Not in Fall 2015""}","",2016-03-29 10:43:27.694613,2016-03-30 02:48:52.475606,Rate of Return Models
806,acma,816,"{""Not in Fall 2015"",""Not in Spring 2016""}","",2016-03-29 10:43:27.765387,2016-03-30 02:48:52.479473,Stochastic Claims Processes
807,acma,820,"{""Spring 2016"",""Not in Fall 2015""}","",2016-03-29 10:43:27.81044,2016-03-30 02:48:52.483792,Stochastic Analysis of Insurance Portfolios
